week,inc
200243,24
200244,30
200245,32
200246,21
200247,28
200248,33
200249,41
200250,59
200251,80
200252,79
200301,52
200302,53
200303,85
200304,159
200305,254
200306,346
200307,396
200308,372
200309,296
200310,203
200311,167
200312,148
200313,118
200314,117
200315,116
200316,85
200317,77
200318,20
200319,14
200320,13
200321,9
200322,4
200323,8
200324,14
200325,4
200326,9
200327,4
200328,7
200329,11
200330,5
200331,9
200332,3
200333,3
200334,4
200335,3
200336,18
200337,25
200338,25
200339,44
200340,52
200341,49
200342,65
200343,77
200344,91
200345,160
200346,244
200347,556
200348,860
200349,928
200350,873
200351,744
200352,121
200401,181
200402,158
200403,100
200404,74
200405,58
200406,46
200407,42
200408,29
200409,21
200410,37
200411,23
200412,21
200413,14
200414,26
200415,14
200416,9
200417,6
200418,8
200419,12
200420,13
200421,13
200422,13
200423,16
200424,11
200425,5
200426,12
200427,12
200428,11
200429,9
200430,6
200431,5
200432,6
200433,3
200434,7
200435,7
200436,13
200437,15
200438,29
200439,38
200440,43
200441,26
200442,34
200443,28
200444,38
200445,26
200446,23
200447,35
200448,51
200449,45
200450,70
200451,77
200452,54
200453,68
200501,92
200502,147
200503,255
200504,523
200505,938
200506,939
200507,759
200508,458
200509,416
200510,367
200511,302
200512,149
200513,71
200514,36
200515,25
200516,16
200517,12
200518,5
200519,13
200520,13
200521,7
200522,6
200523,9
200524,10
200525,4
200526,8
200527,4
200528,3
200529,7
200530,4
200531,6
200532,3
200533,5
200534,9
200535,4
200536,12
200537,17
200538,36
200539,40
200540,44
200541,44
200542,39
200543,30
200544,34
200545,24
200546,40
200547,44
200548,41
200549,46
200550,61
200551,67
200552,53
200601,57
200602,64
200603,109
200604,171
200605,303
200606,421
200607,400
200608,326
200609,269
200610,204
200611,201
200612,177
200613,126
200614,66
200615,44
200616,36
200617,29
200618,7
200619,8
200620,15
200621,8
200622,10
200623,7
200624,7
200625,10
200626,7
200627,2
200628,1
200629,2
200630,1
200631,3
200632,0
200633,0
200634,3
200635,4
200636,2
200637,3
200638,4
200639,15
200640,20
200641,23
200642,27
200643,35
200644,13
200645,20
200646,23
200647,26
200648,27
200649,31
200650,58
200651,103
200652,128
200701,115
200702,135
200703,206
200704,342
200705,611
200706,816
200707,680
200708,515
200709,227
200710,81
200711,50
200712,41
200713,35
200714,19
200715,8
200716,6
200717,8
200718,4
200719,5
200720,10
200721,7
200722,13
200723,9
200724,5
200725,6
200726,0
200727,2
200728,2
200729,6
200730,4
200731,3
200732,0
200733,7
200734,5
200735,2
200736,2
200737,2
200738,8
200739,26
200740,22
200741,21
200742,33
200743,27
200744,23
200745,25
200746,30
200747,50
200748,79
200749,63
200750,74
200751,101
200752,141
200801,167
200802,262
200803,424
200804,473
200805,561
200806,615
200807,467
200808,324
200809,195
200810,147
200811,101
200812,87
200813,63
200814,74
200815,37
200816,19
200817,17
200818,9
200819,8
200820,11
200821,6
200822,3
200823,5
200824,5
200825,3
200826,1
200827,5
200828,5
200829,3
200830,6
200831,6
200832,7
200833,12
200834,4
200835,3
200836,4
200837,4
200838,6
200839,4
200840,13
200841,16
200842,15
200843,15
200844,16
200845,20
200846,18
200847,30
200848,42
200849,57
